Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
C. ADANA AGUASCALIENTES,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,Tecnológico,120,COLONIA,EJIDO OJOCALIENTE,20196,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1354,21.87745117,-102.2596567,2019-04
C. AGUASCALIENTES,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,AGUASCALIENTES PONIENTE,1601,FRACCIONAMIENTO,LA FUNDICION,20230,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,233,21.90324905,-102.3160823,2010-07
C. ALTARIA AGS,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,A ZACATECAS,849,COLONIA,TROJES DE ALONSO,20116,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1320,21.92353107,-102.2903862,2010-07
C. CARREFOUR AGUASCALIENTES,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,JOSÉ MARÍA CHÁVEZ,1809,COLONIA,PRADOS DE VILLASUNCION,20280,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1458,21.85472126,-102.2927186,2010-07
C. VELARIA MALL,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,AGOSTADERITO,2615,COLONIA,NUEVA ESPANA,20205,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1320,21.92437708,-102.2902873,2010-07
CINEMEX  AGUASCALIENTES,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,INDEPENDENCIA,2351,COLONIA,TROJES DE ALONSO,20130,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,229,21.92346465,-102.2978104,2011-03
CINEMEX EXPOPLAZA AGUACALIENTES,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,PROLONGACION,LICENCIADO ADOLFO LÓPEZ MATEOS PONIENTE,0,COLONIA,CENTRO,20000,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,695,21.87585483,-102.305706,2017-03
CINEMEX RINCON DE ROMOS,OPERADORA DE CINEMAS SA DE CV,31 a 50 personas,CALLE,DOCTOR FRANCISCO GUEL JIMENEZ,108,COLONIA,RINCON DE ROMOS,20416,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,695,21.87569447,-102.3064117,2010-07
INTERCINEMAS,,6 a 10 personas,CALLE,BENITO JUAREZ,213,COLONIA,CENTRO,20800,1,AGUASCALIENTES,3,Calvillo,1,Calvillo,187,21.84721265,-102.716546,2010-07
OPERADORA DE CINES KRISTAL,OPERADORA DE CINES KRISTAL SA DE CV,11 a 30 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS ORIENTE,1001,COLONIA,LA HUERTA,20250,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,816,21.87848497,-102.2807359,2010-07
BIG MOON AUTO CINEMA,,0 a 5 personas,BOULEVARD,BOULEVARD DE LOS INSURGENTES,,COLONIA,LOS ALAMOS,22114,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,2490,32.50242687,-116.942174,2019-11
C. BOULEVARD 2000 TIJUANA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,CORREDOR,TIJUANA ROSARITO,26135,COLONIA,EJIDO FRANCISCO VILLA,22235,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,6474,32.49313356,-116.8504068,2014-12
C. CARROUSEL,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,DIAZ ORDAZ,15602,FRACCIONAMIENTO,LAS BRISAS,22610,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,3431,32.4955582,-116.9606401,2010-07
C. CENTENARIO MEXICALI,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,LAZARO CARDENAS,2139,FRACCIONAMIENTO,RESIDENCIAS,21280,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,4666,32.62483016,-115.4432625,2010-07
C. CENTRO CÍVICO,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,DE LOS HÉROES,0,COLONIA,CENTRO CIVICO,21000,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,031A,32.64518395,-115.4719349,2010-07
C. ENSENADA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,PEDRO LOYOLA,612,COLONIA,CARLOS PACHECO,22830,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,5991,31.82062798,-116.6016554,2010-07
C. GALERÍAS DEL VALLE MEXICALI,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,LAZARO CARDENAS,2200,COLONIA,EL PORVENIR,21220,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,4740,32.62351312,-115.5072544,2010-07
