"Cst_Cnt","Depth_zone","mean_ChlorA","mean_NO2uM","mean_NO3uM","mean_O2ml_L","mean_O2Sat","mean_Phaeop","mean_PO4uM","mean_Salnty","mean_SiO3uM","mean_T_degC","Bottom_D","Distance","Lat_Dec","Lon_Dec","IntChl","Year","Quarter","Water_density_class","Dist_cat"
27293,"Very shallow",0.943333333333333,0.0833333333333333,0.733333333333333,5.73333333333333,99.2333333333333,0.45,0.433333333333333,33.099,4.86666666666667,14.81,64,-1.97,32.958333,-117.305,28.1,1993,1,"Light","Oceánica"
27293,"Shallow",0.1975,0.115,0.575,5.5525,96.475,0.21,0.495,33.25225,3.525,14.9525,64,-1.97,32.958333,-117.305,28.1,1993,1,"Light","Oceánica"
27294,"Very shallow",0.343333333333333,0.01,0.1,5.73666666666667,100.533333333333,0.13,0.376666666666667,33.2133333333333,2.8,15.38,628,-6.59,32.916666,-117.39,31.9,1993,1,"Light","Oceánica"
27294,"Shallow",0.406,0.042,0.3,5.684,99.26,0.194,0.4,33.2412,2.82,15.206,628,-6.59,32.916666,-117.39,31.9,1993,1,"Light","Oceánica"
27294,"Intermediate",0.15,0.092,8.32,4.69,78.22,0.166,0.932,33.3432,8.14,12.87,628,-6.59,32.916666,-117.39,31.9,1993,1,"Light","Oceánica"
27294,"Deep",0.0142857142857143,0.0117647058823529,28.0294117647059,2.05764705882353,32.0882352941176,0.0385714285714286,2.24470588235294,34.0087058823529,41.7176470588235,8.63941176470588,628,-6.59,32.916666,-117.39,31.9,1993,1,"Intermediate","Oceánica"
27295,"Very shallow",0.5175,0.0625,0.2,5.74,99.775,0.31,0.3825,33.2665,3.825,14.965,830,-14.53,32.848333,-117.526666,38.3,1993,1,"Light","Oceánica"
27295,"Shallow",0.524,0.102,0.48,5.708,99.08,0.29,0.4,33.2766,3.24,14.912,830,-14.53,32.848333,-117.526666,38.3,1993,1,"Light","Oceánica"
27295,"Intermediate",0.135,0.0383333333333333,8.95,4.775,78.7666666666667,0.166666666666667,0.981666666666667,33.3035,8.2,12.375,830,-14.53,32.848333,-117.526666,38.3,1993,1,"Light","Oceánica"
27295,"Deep",0.00571428571428571,0.00235294117647059,28.8470588235294,2.01235294117647,31.1176470588235,0.0357142857142857,2.31882352941176,34.0258235294118,42.6352941176471,8.44352941176471,830,-14.53,32.848333,-117.526666,38.3,1993,1,"Intermediate","Oceánica"
27296,"Very shallow",0.2475,0,0.1,5.7125,100.5,0.11,0.37,33.25375,3.375,15.57,620,-34.71,32.68,-117.873333,25.8,1993,1,"Light","Oceánica"
27296,"Shallow",0.2475,0.0025,0.1,5.725,100.625,0.1025,0.3625,33.25775,2.725,15.5325,620,-34.71,32.68,-117.873333,25.8,1993,1,"Light","Oceánica"
27296,"Intermediate",0.178333333333333,0.0583333333333333,4.86666666666667,5.325,89.6166666666667,0.181666666666667,0.68,33.232,5.4,13.325,620,-34.71,32.68,-117.873333,25.8,1993,1,"Light","Oceánica"
27296,"Deep",0.0171428571428571,0.00705882352941176,28.1058823529412,2.37352941176471,36.3411764705882,0.04,2.21352941176471,33.9206470588235,41.4705882352941,8.10941176470588,620,-34.71,32.68,-117.873333,25.8,1993,1,"Intermediate","Oceánica"
27297,"Very shallow",0.23,0.006,0.2,5.77,100.6,0.076,0.38,33.2208,3.6,15.144,1554,-54.68,32.515,-118.216666,26.9,1993,1,"Light","Transición"
27297,"Shallow",0.29,0.04,0.88,5.714,98.88,0.172,0.428,33.2406,3.5,14.742,1554,-54.68,32.515,-118.216666,26.9,1993,1,"Light","Transición"
27297,"Intermediate",0.163333333333333,0.045,10.95,4.85,78.1833333333333,0.225,1.06833333333333,33.2281666666667,9.75,11.3166666666667,1554,-54.68,32.515,-118.216666,26.9,1993,1,"Light","Transición"
27297,"Deep",0.0171428571428571,0.0123529411764706,29.3647058823529,2.15411764705882,32.9117647058824,0.0457142857142857,2.30176470588235,33.9897647058824,42.9176470588235,8.04352941176471,1554,-54.68,32.515,-118.216666,26.9,1993,1,"Intermediate","Transición"
27298,"Shallow",0.272,0.0533333333333333,8.41666666666667,4.85333333333333,80.6166666666667,0.24,0.931666666666667,33.3691666666667,9.13333333333333,12.5033333333333,1343,-74.5,32.346666,-118.553333,29.6,1993,1,"Light","Transición"
27298,"Intermediate",0.0433333333333333,0.0116666666666667,19.4333333333333,3.65166666666667,57.1333333333333,0.0666666666666667,1.6,33.5736666666667,19.1333333333333,9.88333333333333,1343,-74.5,32.346666,-118.553333,29.6,1993,1,"Intermediate","Transición"
27298,"Deep",0,0.00235294117647059,31.2,1.92117647058824,29.0352941176471,0.02,2.39235294117647,34.0662941176471,46.9882352941177,7.72235294117647,1343,-74.5,32.346666,-118.553333,29.6,1993,1,"Intermediate","Transición"
27300,"Very shallow",0.686,0.02,0.4,5.824,100.62,0.248,0.428,33.292,3.84,14.662,1466,-94.36,32.18,-118.891666,34.5,1993,1,"Light","Transición"
27300,"Shallow",0.423333333333333,0.04,6.68333333333333,5.125,85.8833333333333,0.263333333333333,0.83,33.3198333333333,7.98333333333333,12.955,1466,-94.36,32.18,-118.891666,34.5,1993,1,"Light","Transición"
27300,"Intermediate",0.0266666666666667,0.0116666666666667,19.1666666666667,3.92166666666667,61.0666666666667,0.05,1.56666666666667,33.5223333333333,18.8166666666667,9.67333333333333,1466,-94.36,32.18,-118.891666,34.5,1993,1,"Intermediate","Transición"
27300,"Deep",0,0.00117647058823529,31.5411764705882,1.77352941176471,26.9058823529412,0.0228571428571429,2.46647058823529,34.0884117647059,48.9470588235294,7.76294117647059,1466,-94.36,32.18,-118.891666,34.5,1993,1,"Intermediate","Transición"
27301,"Very shallow",0.484,0.02,0.1,5.83,101.42,0.162,0.364,33.2702,2.7,14.994,1582,-114.4,32.013333,-119.233333,33.2,1993,1,"Light","Transición"
27301,"Shallow",0.4725,0.05,5.2,5.1825,87.475,0.2825,0.75,33.3445,6.975,13.3025,1582,-114.4,32.013333,-119.233333,33.2,1993,1,"Light","Transición"
27301,"Intermediate",0.04,0.0116666666666667,19.24,3.665,57.1833333333333,0.0633333333333333,1.62333333333333,33.5828333333333,20,9.76833333333333,1582,-114.4,32.013333,-119.233333,33.2,1993,1,"Intermediate","Transición"
27301,"Deep",0.00428571428571429,0.00352941176470588,34.62,1.64764705882353,24.8882352941176,0.0214285714285714,2.51,34.1131176470588,51.0705882352941,7.61764705882353,1582,-114.4,32.013333,-119.233333,33.2,1993,1,"Intermediate","Transición"
27302,"Very shallow",0.35,0,0,5.856,101.14,0.148,0.384,33.2084,3.3,14.654,1797,-134.25,31.846666,-119.57,31.9,1993,1,"Light","Transición"
27302,"Shallow",0.42,0.03,1.14,5.726,98.08,0.244,0.468,33.2478,3.68,14.232,1797,-134.25,31.846666,-119.57,31.9,1993,1,"Light","Transición"
27302,"Intermediate",0.136666666666667,0.0216666666666667,11.8,4.87333333333333,77.5833333333333,0.173333333333333,1.14,33.218,11.2666666666667,10.7416666666667,1797,-134.25,31.846666,-119.57,31.9,1993,1,"Intermediate","Transición"
27302,"Deep",0.00714285714285714,0.00117647058823529,30.5176470588235,2.09588235294118,31.6823529411765,0.0257142857142857,2.35647058823529,34.0102941176471,47.3705882352941,7.65764705882353,1797,-134.25,31.846666,-119.57,31.9,1993,1,"Intermediate","Transición"
27303,"Very shallow",0.116,0,0.1,5.7,100.66,0.046,0.34,33.2266,2.78,15.774,3932,-174.18,31.513333,-120.246666,19.2,1993,1,"Light","Transición"
27303,"Shallow",0.16,0,0.1,5.724,100.6,0.07,0.342,33.2078,2.54,15.554,3932,-174.18,31.513333,-120.246666,19.2,1993,1,"Light","Transición"
27303,"Intermediate",0.195,0.055,5.36666666666667,5.40166666666667,89.8166666666667,0.158333333333333,0.708333333333333,33.1688333333333,6.03333333333333,12.7416666666667,3932,-174.18,31.513333,-120.246666,19.2,1993,1,"Light","Transición"
27303,"Deep",0.01,0.00117647058823529,29.3117647058824,2.35647058823529,35.8529411764706,0.0371428571428571,2.22588235294118,33.9343529411765,44.0058823529412,7.87588235294118,3932,-174.18,31.513333,-120.246666,19.2,1993,1,"Intermediate","Transición"
27305,"Very shallow",0.144,0,0.1,5.766,101.1,0.056,0.36,33.1892,2.5,15.412,3869,-213.72,31.186666,-120.916666,23.4,1993,1,"Light","Costera"
27305,"Shallow",0.25,0.0116666666666667,0.166666666666667,5.77666666666667,100.633333333333,0.135,0.358333333333333,33.1993333333333,2.51666666666667,15.1016666666667,3869,-213.72,31.186666,-120.916666,23.4,1993,1,"Light","Costera"
27305,"Intermediate",0.167142857142857,0.0385714285714286,8.81428571428571,5.10428571428571,82.8714285714286,0.18,0.925714285714286,33.184,8.62857142857143,11.6257142857143,3869,-213.72,31.186666,-120.916666,23.4,1993,1,"Light","Costera"
27305,"Deep",0.01,0.000625,29.425,2.345,35.6375,0.038,2.235625,33.9529375,44.26875,7.853125,3869,-213.72,31.186666,-120.916666,23.4,1993,1,"Intermediate","Costera"
27306,"Very shallow",0.1025,0,0.1,5.7325,101.1,0.04,0.36,33.192,2.625,15.71,4121,-253.99,30.846666,-121.591666,21.5,1993,1,"Light","Costera"
27306,"Shallow",0.2025,0.0025,0.1,5.79,101.075,0.095,0.3675,33.2005,2.575,15.2075,4121,-253.99,30.846666,-121.591666,21.5,1993,1,"Light","Costera"
